AI-DSS Forensic Toxicology — Master Library | 15 Toxins × Timeline Phases | Parameters: Symptoms · Odour · Route · Timeline · Sample,,,,,,,,,,,,
Sources: PMC 3555759/4961899 (AlP) · PMC 8296580 (India pesticide review) · IJFCM 2022 (OP/Narcotics) · O'Neal FSI 2000 · PubMed 23563473/26056768/NBK606092 (PPD) · NYCOCME Reinsch SOP · Austin J Forensic Sci 2018 · StatPearls · Springer Systematic Tox,,,,,,,,,,,,
Toxin ID,Toxin / Substance,Category,Timeline Phase,"CNS Symptoms
(at this phase)","CVS Symptoms
(at this phase)","Respiratory Symptoms
(at this phase)","GI Symptoms
(at this phase)","Other / Systemic Symptoms
(at this phase)","Odour Present
(optional parameter)",Route of Exposure,"Sample Type
(priority for this phase)",Source Reference
T04,"Mercury
(Mercuric chloride — inorganic; Methyl mercury — organic)",Heavy Metal,"Phase 1 — Acute (0–2 hrs, inorganic ingestion)","Headache; Irritability;
No major CNS at this phase",Normal,"Chemical pneumonitis
if vapour inhaled;
otherwise minimal","Metallic taste; Nausea;
Vomiting; Abdominal pain;
Corrosive mouth/throat burns","Excessive salivation
(ptyalism); Burning
throat; Metallic taste
(hallmark early sign)","Metallic taste (subjective;
not external odour;
NO characteristic external odour)","Ingestion (inorganic — HgCl2);
Inhalation (vapour — Hg0);
Dermal (organic methyl mercury)","Gastric lavage contents;
Blood (mercury level);
Urine","NYCOCME Reinsch SOP;
Mercury forensic tox"
T04,"Mercury
(Mercuric chloride — inorganic; Methyl mercury — organic)",Heavy Metal,Phase 2 — Acute Established (2–24 hrs),"CNS effects begin:
Confusion; Tremors;
Headache worsening;
Anxiety","Hypertension;
Tachycardia","Pulmonary oedema
(vapour inhalation);
Chemical pneumonitis","Haemorrhagic colitis;
Profuse bloody diarrhoea;
Severe abdominal pain","Oliguria beginning;
Renal tubular damage;
Proteinuria;
Acute kidney failure","No characteristic external
odour (mercury has none)",Ingestion/Inhalation,"Blood (Hg level);
Urine (mercury excretion);
Renal function tests","NYCOCME Reinsch SOP;
Mercury toxicology"
T04,"Mercury
(Mercuric chloride — inorganic; Methyl mercury — organic)",Heavy Metal,"Phase 3 — Chronic (weeks–months, methyl mercury / repeated exposure)","ERETHISM (hallmark chronic Hg):
Irritability; Shyness;
Timidity; Memory loss;
Insomnia; Depression;
Ataxia; Tremors (intentional)",Hypertension,No significant resp signs,"Anorexia; Weight loss;
Nausea (mild)","ACRODYNIA (pink disease)
in children:
Pink painful extremities;
Swollen hands/feet;
Hypertension;
Diaphoresis;
Tachycardia in children",No external odour,"Ingestion/Inhalation/
Dermal (organic mercury)
— chronic exposure","Hair (organic mercury;
chronic exposure);
Urine (inorganic chronic);
Blood;
Nails","NYCOCME Reinsch SOP;
Methyl mercury
Minamata literature"
T05,"Morphine / Heroin / Opioids
(Opium alkaloids — morphine, codeine, heroin)",Alkaloid/Drug,"Phase 1 — Early (0–30 min, IV/IM route; or 30–90 min oral)","Euphoria (initial);
Analgesia; Drowsiness;
Miosis begins","Mild bradycardia;
Mild hypotension;
Peripheral vasodilation","Mild respiratory rate
reduction","Nausea; Vomiting
(early — common);
Decreased bowel
sounds","Itching/flushing
(histamine release);
Warmth; Drowsiness","NO characteristic odour
(opium itself has earthy
smell — usually not
present in processed forms)","IV injection (heroin — fastest;
7–8 sec onset);
Ingestion (morphine oral;
30–90 min);
Inhalation (smoking)","Blood (morphine level);
Urine (immunoassay screen);
Gastric lavage (oral)","IJFCM Narcotics 2022;
Austin J Forensic Sci 2018;
O'Neal FSI 2000"
T05,"Morphine / Heroin / Opioids
(Opium alkaloids — morphine, codeine, heroin)",Alkaloid/Drug,Phase 2 — Acute (30 min–2 hrs),"CLASSIC TRIAD:
1. Miosis (pinpoint — hallmark)
2. Decreased consciousness
   (stupor ? coma)
3. Respiratory depression;
Seizures rare;
Hyporeflexia","Bradycardia;
Hypotension;
Peripheral vasodilation;
Cool clammy skin","RESPIRATORY DEPRESSION
(primary cause of death);
Slow rate <8/min;
Shallow; Irregular;
Cyanosis","Vomiting (aspiration risk);
Decreased bowel motility;
Constipation","Hypothermia;
Pale/cyanosed skin;
Flaccid muscles;
Needle track marks (IV);
Naloxone reverses all signs",NO characteristic odour,"IV injection / Ingestion /
Inhalation","Blood (morphine/6-MAM);
Urine (immunoassay);
Gastric lavage (oral route)","IJFCM Narcotics 2022;
O'Neal FSI 2000;
Austin J Forensic Sci 2018"
T05,"Morphine / Heroin / Opioids
(Opium alkaloids — morphine, codeine, heroin)",Alkaloid/Drug,Phase 3 — Severe/Fatal (>2 hrs untreated),"Deep coma;
Absent reflexes;
Brain death (anoxia)","Circulatory collapse;
Cardiac arrest (hypoxia)","Apnoea;
Respiratory arrest;
Aspiration pneumonia",Ileus; Constipation,"Hypoxic brain injury;
Rhabdomyolysis;
Compartment syndrome
(prolonged immobility)",NO characteristic odour,IV injection / Ingestion,"Post-mortem blood
(femoral — avoid cardiac);
Vitreous humour;
Hair (chronic use history);
Liver","IJFCM Narcotics 2022;
Opioid post-mortem
forensic literature"
T06,"Strychnine
(Nux vomica — plant alkaloid)",Alkaloid/Drug,Phase 1 — Prodrome (0–15 min),"Apprehension; Restlessness;
Hyperacusis (sensitivity
to sounds/stimuli);
Stiffness begins",Tachycardia; Hypertension,Normal,"Bitter taste; Nausea;
Vomiting (early)","Heightened sensory
sensitivity to light,
noise, touch;
Jaw stiffness","INTENSELY BITTER taste
(not external odour;
subjective by victim;
NO external odour)","Ingestion (bitter tablet/
powder);
Rarely inhalation","Gastric lavage contents
(CRITICAL — early);
Urine;
Blood","Forensicfield.blog;
Strychnine toxicology"
T06,"Strychnine
(Nux vomica — plant alkaloid)",Alkaloid/Drug,Phase 2 — Acute Spasms (15–60 min),"OPISTHOTONOS (arched back);
GENERALISED TONIC
CONVULSIONS (hallmark);
PATIENT FULLY CONSCIOUS
DURING SPASMS;
Risus sardonicus
(fixed grin — facial spasm);
Hyperreflexia","Hypertension severe;
Tachycardia;
Risk of cardiac failure
from spasm effort","Respiratory muscle
spasm ? Apnoea
during convulsions;
Cyanosis","Vomiting risk
(aspiration danger);
Abdominal muscle spasm","Spasms triggered by
any sensory stimulus
(light, sound, touch);
Muscle hyperthermia;
Rhabdomyolysis;
Profuse sweating",NO external odour,Ingestion,"Blood (strychnine level);
Urine;
Gastric lavage","Forensicfield.blog;
Mandelin specificity
literature"
T06,"Strychnine
(Nux vomica — plant alkaloid)",Alkaloid/Drug,Phase 3 — Late/Fatal (>1 hr repeated spasms),"Death from exhaustion
or asphyxia;
Continuous spasms;
No recovery between","Cardiac failure
(exertion + hypoxia);
Arrhythmia","Respiratory arrest
(from muscle rigidity);
Terminal cyanosis",Ileus,"Hyperthermia (40°C+);
Severe lactic acidosis;
Renal failure (myoglobin);
DIC",NO external odour,Ingestion,"Post-mortem blood;
Urine;
Viscera (liver, kidney);
Gastric contents","Strychnine forensic
toxicology literature;
Forensicfield.blog"
T07,"Cyanide
(KCN, NaCN, HCN gas, Amygdalin/bitter almonds)",Volatile/Gas,Phase 1 — Hyper-acute (0–5 min — gas; 0–30 min — ingested salts),"Headache; Dizziness;
Anxiety; Confusion;
Rapid loss of consciousness
(HCN gas: seconds–2 min)","Hypertension (early);
Tachycardia (early)","Hyperpnoea (rapid);
Dyspnoea","Nausea; Vomiting
(if ingested salts)","Flushed skin (early;
histotoxic hypoxia);
Lactic acidosis building","BITTER ALMOND odour
(HCN — classic;
~40–60% of population
can detect it;
OPTIONAL — genetic)","Inhalation (HCN gas — fastest);
Ingestion (KCN/NaCN salts);
Amygdalin (seeds — slower onset)","Gastric lavage (ingestion);
Blood (whole blood — cyanide
unstable in serum)","Forensicfield.blog;
Cyanide forensic tox"
T07,"Cyanide
(KCN, NaCN, HCN gas, Amygdalin/bitter almonds)",Volatile/Gas,Phase 2 — Acute Collapse (5–30 min),"Seizures; Coma;
Complete unconsciousness;
Fixed dilated pupils (late)","BRIGHT RED VENOUS BLOOD
(arterialised — hallmark);
Cardiovascular collapse;
Bradycardia ? arrest;
Hypotension","Respiratory failure;
Irregular breathing;
Apnoea","Hypersalivation
(ingestion)","Lactic acidosis (severe);
High anion gap;
Bright red venous blood
(venous pO2 high —
oxygen not utilised);
Cyanosis ABSENT
(paradox — key sign)","Bitter almond odour
persists in breath,
gastric contents,
post-mortem tissues",Inhalation / Ingestion,"Whole blood (cyanide;
NOT serum);
Post-mortem blood;
Gastric contents;
Lung (if inhaled)","Forensicfield.blog;
Systematic Tox Springer;
Cyanide forensic lit"
T08,"Carbon Monoxide (CO)
(Vehicle exhaust, generators, fires, coal stoves)",Volatile/Gas,Phase 1 — Mild (COHb 10–20%),"Headache (frontal;
hallmark early sign);
Dizziness; Confusion;
Nausea","Mild tachycardia;
Vasodilation",Dyspnoea on exertion,Nausea; Vomiting,"Fatigue; Weakness;
Visual disturbances;
Cherry-red skin
(may appear)","NO odour — CO is
COLOURLESS AND ODOURLESS
(NOT detectable by smell;
always absent)","Inhalation ONLY
(vehicle exhaust;
wood-burning fires;
generators; coal stoves)","Blood (COHb% by co-oximetry;
urgent)","Systematic Tox Springer;
Forensic COHb literature"
T08,"Carbon Monoxide (CO)
(Vehicle exhaust, generators, fires, coal stoves)",Volatile/Gas,Phase 2 — Moderate (COHb 20–40%),"Severe headache;
Confusion; Disorientation;
Impaired judgement;
Ataxia; Syncope","Tachycardia;
Arrhythmia;
Chest pain (angina)","Dyspnoea at rest;
Respiratory rate rises","Nausea; Vomiting
(worsening)","Weakness; Collapse;
Cherry-red skin more
apparent;
Visual disturbances","NO odour — absolutely
none at any stage",Inhalation,"Blood (COHb% — URGENT;
co-oximetry only;
normal blood gas pO2
can be falsely normal)","Forensic COHb literature;
CO poisoning clinical data"
T08,"Carbon Monoxide (CO)
(Vehicle exhaust, generators, fires, coal stoves)",Volatile/Gas,Phase 3 — Severe/Fatal (COHb >50%),"Coma; Seizures;
Brain damage;
Unresponsive","Cardiovascular collapse;
Cardiac arrest;
Bradycardia","Respiratory arrest;
Apnoea",Aspiration risk,"CHERRY-RED post-mortem
lividity (hallmark);
Bright red blood
(COHb — visually apparent
at autopsy);
Hypoxic brain injury;
Rhabdomyolysis",NO odour at any stage,Inhalation,"Post-mortem blood
(COHb preserved post-mortem);
Vitreous humour;
Lung tissue;
Brain","Forensic COHb literature;
Post-mortem CO analysis"
T09,"Ethanol / Methanol
(Illicit liquor — hooch tragedies India)",Volatile/Gas,"Phase 1 — Early Ethanol (BAC 0.05–0.10%, 0–1 hr)","Euphoria; Disinhibition;
Mild incoordination;
Slurred speech beginning","Vasodilation;
Flushing; Mild
tachycardia",Normal,Nausea (mild),"Impaired judgment;
Decreased reaction time;
Emotional lability","SWEET / ALCOHOLIC odour
(ethanol on breath;
OFTEN PRESENT — easy to detect;
OPTIONAL parameter)",Ingestion (oral),"Blood (BAC — ethanol);
Breath (breathalyser)","Bihar viscera study;
GC-HS FSL SOP;
Forensic ethanol lit"
T09,"Ethanol / Methanol
(Illicit liquor — hooch tragedies India)",Volatile/Gas,Phase 2 — Acute Ethanol / Methanol latent (BAC >0.20% / 2–12 hrs methanol),"Ataxia (gross);
Confusion; Stupor;
Nystagmus;
Dysarthria;
For METHANOL: visual
disturbances begin
(blurring, altered colour
vision)","Hypotension;
Tachycardia;
Vasodilation","Respiratory depression
(ethanol, high BAC);
Aspiration risk","Vomiting (major risk
for aspiration);
Gastritis","Hypothermia;
Hypoglycaemia;
For methanol: no specific
symptoms yet but
formate accumulating","STRONG ALCOHOLIC odour
(ethanol);
Methanol: minimal odour
— cannot be detected
by smell reliably",Ingestion,"Blood (BAC; methanol level);
Urine (EtG if recent);
Gastric lavage","Bihar viscera study;
GC-HS FSL SOP"
T09,"Ethanol / Methanol
(Illicit liquor — hooch tragedies India)",Volatile/Gas,Phase 3 — Methanol toxic phase (12–48 hrs post-ingestion),"VISUAL FAILURE
(hallmark methanol):
Blurred vision ?
Snowfield vision ?
BLINDNESS;
Seizures (severe);
Coma","Cardiovascular collapse
(severe acidosis)","Kussmaul breathing
(deep, rapid —
severe metabolic acidosis);
Respiratory failure","Nausea; Vomiting;
Abdominal pain","SEVERE METABOLIC ACIDOSIS
(high anion gap);
Formate accumulation;
Optic nerve oedema;
Retinal toxicity;
Blindness permanent
if untreated","May have mild alcoholic
odour; Methanol itself
has faint odour
— unreliable detection",Ingestion,"Blood (methanol level;
formate level;
ABG — acidosis);
Urine;
Vitreous humour
(post-mortem)","Bihar viscera study;
Methanol toxicology lit;
Forensic ethanol"
T10,"Paraphenylenediamine (PPD)
(Kala Pathar — hair dye ingestion)",Dye/Industrial,Phase 1 — Early (0–4 hrs post-ingestion),None significant,Normal,"Mild respiratory symptoms;
Throat discomfort","Nausea; Vomiting;
Oropharyngeal burning","Local oropharyngeal
irritation;
Mild cervical
swelling begins","NO characteristic odour
(hair dye may have
chemical/ammonia smell
if fresh — non-specific;
OPTIONAL/unreliable)","Ingestion (suicidal —
hair dye emulsion;
80 mL bowlful typical);
Dermal (topical allergy —
less severe)","Gastric lavage contents
(CRITICAL — early);
Blood (baseline renal);
Urine (baseline)","PubMed 23563473;
PMC 3634302;
StatPearls NBK606092"
T10,"Paraphenylenediamine (PPD)
(Kala Pathar — hair dye ingestion)",Dye/Industrial,Phase 2 — Acute (4–24 hrs) — HALLMARK PHASE,None significant,"Myocarditis developing;
Cardiac conduction
abnormalities;
Fatal arrhythmia risk","UPPER AIRWAY OBSTRUCTION
(laryngeal/cervical oedema);
Stridor;
Dyspnoea;
Emergency tracheostomy
may be required","Dysphagia;
Drooling (oedema);
Nausea persisting","CERVICOFACIAL OEDEMA
(HALLMARK — massive
swelling of neck/face);
Rhabdomyolysis begins;
Dark/BROWN URINE
(myoglobinuria — hallmark);
Elevated CK",NO characteristic odour,Ingestion,"Urine (BROWN — myoglobinuria;
naked-eye diagnostic);
Blood (CK, creatinine,
cardiac enzymes);
ECG","PubMed 23563473;
PMC 3510919;
PMC 3634302;
PubMed 26056768"
T10,"Paraphenylenediamine (PPD)
(Kala Pathar — hair dye ingestion)",Dye/Industrial,Phase 3 — Late (24–96 hrs) — Organ Failure,None specific CNS,"Myocarditis established;
Arrhythmia;
Cardiac failure risk","Respiratory failure
(if upper airway not
secured);
Pulmonary oedema","Hepatic necrosis;
Liver failure signs","ACUTE RENAL FAILURE
(myoglobin casts in
renal tubules — ATN);
Oliguria/Anuria;
Elevated creatinine;
Dialysis may be needed;
Mortality 12–42%",NO characteristic odour,Ingestion,"Blood (creatinine;
BUN; CK; LFTs;
PPD level by HPLC);
Urine;
Viscera (post-mortem:
renal histopath)","PubMed 26056768;
PMC 3634302;
StatPearls NBK606092"
T11,"Paraquat
(Gramoxone herbicide — 20% concentrate)",Pesticide,Phase 1 — Acute GI (0–24 hrs),None significant,Mild hypotension,"Mild dyspnoea;
not severe yet","SEVERE CORROSIVE
GI BURNS (hallmark early);
Oral/oesophageal burns;
Bloodstained vomit;
Dysphagia; Nausea;
Diarrhoea","Oropharyngeal ulcers;
Corrosive injury;
Oral pain;
Dysphagia","BLUE-GREEN liquid
(commercial Gramoxone —
visual sign at SCENE;
not an odour);
NO characteristic odour","Ingestion (suicidal —
diluted Gramoxone;
even small amounts fatal);
Dermal (occupational;
less common)","Urine (dithionite test —
bedside SPECIFIC;
blue = positive);
Blood plasma;
Gastric lavage","PMC 8296580;
Paraquat clinical lit;
Proudfoot nomogram"
T11,"Paraquat
(Gramoxone herbicide — 20% concentrate)",Pesticide,Phase 2 — Systemic (24–72 hrs),"Confusion (hypoxia);
Restlessness","Hypotension worsening;
Cardiovascular compromise","PULMONARY FIBROSIS
BEGINS (hallmark);
Progressive dyspnoea;
Increasing O2 requirement;
NOTE: supplemental O2
worsens lung injury","Persistent dysphagia;
Oropharyngeal ulcers
progress","Acute renal failure;
Hepatic dysfunction;
Elevated liver enzymes;
Raised creatinine",NO characteristic odour,Ingestion,"Blood (paraquat level;
Proudfoot nomogram
for prognosis);
Urine (dithionite);
Renal function","PMC 8296580;
Paraquat dithionite
test literature"
T11,"Paraquat
(Gramoxone herbicide — 20% concentrate)",Pesticide,Phase 3 — Late Fibrosis (3–14 days) — Highly lethal,"Confusion; Coma
(hypoxia)","Multi-organ failure;
Cardiovascular collapse","PROGRESSIVE PULMONARY
FIBROSIS FULLY ESTABLISHED;
Respiratory failure;
Ventilator-dependent;
High FiO2 worsens;
Death from hypoxic
respiratory failure","Liver failure;
Jaundice","Multiorgan failure;
Acute renal failure;
Hepatic failure;
DIC;
Death (high mortality
even with treatment)",NO characteristic odour,Ingestion,"Lung tissue (post-mortem;
fibrosis on histopath);
Blood (paraquat);
Viscera","PMC 8296580;
Paraquat forensic tox
literature"
T12,"Carbolic Acid / Phenol
(Lysol, Dettol — household corrosive poisoning)",Corrosive,Phase 1 — Immediate (0–30 min),"CNS STIMULATION:
Excitement; Tremors;
Headache;
Seizures (early — high dose)","Hypertension (early;
CNS stimulation phase);
Tachycardia","Mild respiratory
irritation;
Chest tightness","CORROSIVE BURNS:
White coagulation of
mucous membranes;
Burning pain in mouth;
Nausea; Vomiting;
White/grey discolouration
of gastric mucosa","Pallor of mucous
membranes;
Local coagulative necrosis;
Skin burns (dermal)","STRONG CARBOLIC /
ANTISEPTIC ODOUR
(unmistakable Dettol/
Lysol smell;
OFTEN STRONGLY PRESENT;
OPTIONAL parameter)","Ingestion;
Dermal absorption
(significant percutaneous);
Inhalation (vapour)","Gastric lavage contents
(CRITICAL — early);
Blood;
Urine (phenol metabolites
early)","Bihar viscera study;
Forensicfield FeCl3;
Phenol toxicology"
T12,"Carbolic Acid / Phenol
(Lysol, Dettol — household corrosive poisoning)",Corrosive,Phase 2 — CNS Depression (30 min–4 hrs),"CNS DEPRESSION (follows
stimulation):
Confusion; Drowsiness;
Stupor; COMA;
Hyporeflexia;
Seizures ? CNS depression
transition","Hypotension
(phase reversal from
hypertension);
Arrhythmia;
Cardiac depression","Respiratory depression;
Chemical pneumonitis
(inhalation);
Bronchospasm","Haematemesis;
GI perforation (severe);
Continued corrosive injury","Dark brown/black urine
(phenol metabolites;
parahydroquinone);
Skin: grey-white
coagulation necrosis;
Dehydration","Carbolic odour persists
in breath and gastric
contents",Ingestion/Dermal/Inhalation,"Urine (phenol metabolites;
dark coloured —
visual clue);
Blood;
Gastric lavage","Bihar viscera study;
Phenol tox literature"
T12,"Carbolic Acid / Phenol
(Lysol, Dettol — household corrosive poisoning)",Corrosive,Phase 3 — Organ Failure (>4 hrs),"Deep coma;
Brain injury (hypoxia/
toxic)","Cardiovascular collapse;
Cardiac failure","Respiratory failure;
Aspiration pneumonia","GI perforation risk;
Hepatic necrosis","Acute renal failure;
Methaemoglobinaemia
(carbolic acid oxidises
Hb);
Cyanosis;
Acidosis","Carbolic odour may
persist in post-mortem
tissues",Ingestion,"Viscera (post-mortem);
Urine (phenol);
Blood (metHb level;
GC-MS)","Bihar viscera study;
Phenol forensic tox"
T13,"Barbiturates
(Phenobarbitone, Amylobarbitone — sedative overdose)",Alkaloid/Drug,Phase 1 — Mild Sedation (1–3 hrs post-ingestion),"Drowsiness; Slurred
speech; Ataxia;
Nystagmus;
Impaired judgment","Mild hypotension;
Mild bradycardia","Mild respiratory
rate reduction","Nausea; Vomiting
(early)","Hypothermia (mild);
Reduced reflexes","NO characteristic odour
(tablets are odourless)","Ingestion (overdose;
sedative abuse;
often with alcohol)","Blood (barbiturate level;
serum);
Gastric lavage;
Urine (immunoassay)","O'Neal FSI 2000;
Forensicfield.blog;
Barbiturate clinical tox"
